"분류ID","분류","유형ID","유형","가능여부","유형조합수Nc","전체관측","전체회차수","전체관측비율","공정유형확률","이론기대관측","관측대이론비율","전체Wilson하한","전체Wilson상한","전체Wilson폭","최근관측","최근회차수","모형유형확률","모형특정1조합확률","공정특정1조합확률","최근Wilson하한","최근Wilson상한","최근Wilson폭","추정대상회차","해석"
"decade_occupancy","번호 구간별 개수","0,0,0,4,2","0 · 0 · 0 · 4 · 2","true","2100","0","522","0","0.0002578249883978755","0.13458464394369102","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00012891249419893776","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,0,5,1","0 · 0 · 0 · 5 · 1","true","1260","0","522","0","0.0001546949930387253","0.08075078636621462","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00007734749651936266","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,0,6,0","0 · 0 · 0 · 6 · 0","true","210","0","522","0","0.000025782498839787553","0.013458464394369103","0","0","0.007305355552050563","0.007305355552050563","0","156","0.000012891249419893777","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,1,0,5","0 · 0 · 1 · 0 · 5","true","10","0","522","0","0.0000012277380399898835","0.0006408792568747192","0","0","0.007305355552050563","0.007305355552050563","0","156","6.138690199949418e-7","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,1,1,4","0 · 0 · 1 · 1 · 4","true","500","0","522","0","0.00006138690199949418","0.03204396284373596","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00003069345099974709","6.138690199949418e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,1,2,3","0 · 0 · 1 · 2 · 3","true","4500","1","522","0.0019157088122605363","0.0005524821179954476","0.2883956655936236","3.4674584929757337","0.0003382497261719287","0.010770533582384188","0.01043228385621226","0","156","0.0002762410589977238","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,1,3,2","0 · 0 · 1 · 3 · 2","true","12000","2","522","0.0038314176245210726","0.0014732856479878602","0.769055108249663","2.6005938697318007","0.0010513424945747156","0.013860868570486955","0.012809526075912238","2","156","0.00714689923425034","5.955749361875283e-7","1.2277380399898834e-7","0.0035229170716722553","0.04553481099555255","0.04201189392388029","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,1,4,1","0 · 0 · 1 · 4 · 1","true","10500","0","522","0","0.0012891249419893776","0.672923219718455","0","0","0.007305355552050563","0.007305355552050563","0","156","0.0006445624709946888","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,1,5,0","0 · 0 · 1 · 5 · 0","true","2520","2","522","0.0038314176245210726","0.0003093899860774506","0.16150157273242924","12.383780332056194","0.0010513424945747156","0.013860868570486955","0.012809526075912238","1","156","0.0033598231981669304","0.000001333263173875766","1.2277380399898834e-7","0.0011324653171247909","0.035412864435195084","0.03428039911807029","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,2,0,4","0 · 0 · 2 · 0 · 4","true","225","0","522","0","0.00002762410589977238","0.014419783279681181","0","0","0.007305355552050563","0.007305355552050563","0","156","0.00001381205294988619","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,2,1,3","0 · 0 · 2 · 1 · 3","true","4500","0","522","0","0.0005524821179954476","0.2883956655936236","0","0","0.007305355552050563","0.007305355552050563","0","156","0.0002762410589977238","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,2,2,2","0 · 0 · 2 · 2 · 2","true","20250","1","522","0.0019157088122605363","0.002486169530979514","1.2977804951713063","0.7705463317723853","0.0003382497261719287","0.010770533582384188","0.01043228385621226","0","156","0.001243084765489757","6.138690199949417e-8","1.2277380399898834e-7","0","0.024032931437414938","0.02403293143741494","1242","실험 추정; 미래 우월성 미확인"
"decade_occupancy","번호 구간별 개수","0,0,2,3,1","0 · 0 · 2 · 3 · 1","true","27000","1","522","0.0019157088122605363","0.003314892707972685","1.7303739935617417","0.577909748829289","0.0003382497261719287","0.010770533582384188","0.01043228385621226","1","156","0.004862574559114548","1.8009535404127955e-7","1.2277380399898834e-7","0.0011324653171247909","0.035412864435195084","0.03428039911807029","1242","실험 추정; 미래 우월성 미확인"
