"회차","추첨일","본번호1","본번호2","본번호3","본번호4","본번호5","본번호6","공식1등집계","번호합계","최대최소차","홀수 개수","22 이하 번호 개수","여섯 번호 합계","인접 연속번호 쌍","끝자리 종류 개수","소수 개수","번호 구간별 개수","최댓값−최솟값","합계 × 홀수 × 연속쌍","합계 × 홀수 × 저번호"
"1213","2026-02-28","5","11","25","27","36","38","18","142","33","4개","2개","120~149","0쌍","5종류","2개","1 · 1 · 2 · 2 · 0","30~39","합계 120~149 / 홀수 4 / 연속쌍 0","합계 120~149 / 홀수 4 / 22이하 2"
"1214","2026-03-07","10","15","19","27","30","33","12","134","23","4개","3개","120~149","0쌍","5종류","1개","1 · 2 · 2 · 1 · 0","20~29","합계 120~149 / 홀수 4 / 연속쌍 0","합계 120~149 / 홀수 4 / 22이하 3"
"1215","2026-03-14","13","15","19","21","44","45","16","157","32","5개","4개","150~179","1쌍","5종류","2개","0 · 3 · 1 · 0 · 2","30~39","합계 150~179 / 홀수 5 / 연속쌍 1","합계 150~179 / 홀수 5 / 22이하 4"
"1216","2026-03-21","3","10","14","15","23","24","14","89","21","3개","4개","21~89","2쌍","4종류","2개","2 · 2 · 2 · 0 · 0","20~29","합계 21~89 / 홀수 3 / 연속쌍 2","합계 21~89 / 홀수 3 / 22이하 4"
"1217","2026-03-28","8","10","15","20","29","31","14","113","23","3개","4개","90~119","0쌍","5종류","2개","2 · 2 · 1 · 1 · 0","20~29","합계 90~119 / 홀수 3 / 연속쌍 0","합계 90~119 / 홀수 3 / 22이하 4"
"1218","2026-04-04","3","28","31","32","42","45","18","181","42","3개","1개","180~255","1쌍","5종류","2개","1 · 0 · 1 · 2 · 2","40~44","합계 180~255 / 홀수 3 / 연속쌍 1","합계 180~255 / 홀수 3 / 22이하 1"
"1219","2026-04-11","1","2","15","28","39","45","12","130","44","4개","3개","120~149","1쌍","5종류","1개","2 · 1 · 1 · 1 · 1","40~44","합계 120~149 / 홀수 4 / 연속쌍 1","합계 120~149 / 홀수 4 / 22이하 3"
"1220","2026-04-18","2","22","25","28","34","43","14","154","41","2개","2개","150~179","0쌍","5종류","2개","1 · 0 · 3 · 1 · 1","40~44","합계 150~179 / 홀수 2 / 연속쌍 0","합계 150~179 / 홀수 2 / 22이하 2"
"1221","2026-04-25","6","13","18","28","30","36","16","131","30","1개","3개","120~149","0쌍","4종류","1개","1 · 2 · 2 · 1 · 0","30~39","합계 120~149 / 홀수 1 / 연속쌍 0","합계 120~149 / 홀수 1 / 22이하 3"
"1222","2026-05-02","4","11","17","22","32","41","24","127","37","3개","4개","120~149","0쌍","4종류","3개","1 · 2 · 1 · 1 · 1","30~39","합계 120~149 / 홀수 3 / 연속쌍 0","합계 120~149 / 홀수 3 / 22이하 4"
"1223","2026-05-09","16","18","20","32","33","39","16","158","23","2개","3개","150~179","1쌍","6종류","0개","0 · 3 · 0 · 3 · 0","20~29","합계 150~179 / 홀수 2 / 연속쌍 1","합계 150~179 / 홀수 2 / 22이하 3"
"1224","2026-05-16","9","18","21","27","44","45","12","164","36","4개","3개","150~179","1쌍","6종류","0개","1 · 1 · 2 · 0 · 2","30~39","합계 150~179 / 홀수 4 / 연속쌍 1","합계 150~179 / 홀수 4 / 22이하 3"
"1225","2026-05-23","8","9","19","25","41","42","13","144","34","4개","3개","120~149","2쌍","5종류","2개","2 · 1 · 1 · 0 · 2","30~39","합계 120~149 / 홀수 4 / 연속쌍 2","합계 120~149 / 홀수 4 / 22이하 3"
"1226","2026-05-30","4","6","13","17","26","28","10","94","24","2개","4개","90~119","0쌍","5종류","2개","2 · 2 · 2 · 0 · 0","20~29","합계 90~119 / 홀수 2 / 연속쌍 0","합계 90~119 / 홀수 2 / 22이하 4"
"1227","2026-06-06","1","14","16","34","41","44","11","150","43","2개","3개","150~179","0쌍","3종류","1개","1 · 2 · 0 · 1 · 2","40~44","합계 150~179 / 홀수 2 / 연속쌍 0","합계 150~179 / 홀수 2 / 22이하 3"
"1228","2026-06-13","24","29","30","31","35","44","11","193","20","3개","0개","180~255","2쌍","5종류","2개","0 · 0 · 3 · 2 · 1","20~29","합계 180~255 / 홀수 3 / 연속쌍 2","합계 180~255 / 홀수 3 / 22이하 0"
"1229","2026-06-20","12","13","29","34","37","42","8","167","30","3개","2개","150~179","1쌍","5종류","3개","0 · 2 · 1 · 2 · 1","30~39","합계 150~179 / 홀수 3 / 연속쌍 1","합계 150~179 / 홀수 3 / 22이하 2"
"1230","2026-06-27","3","8","9","22","28","42","16","112","39","2개","4개","90~119","1쌍","4종류","1개","3 · 0 · 2 · 0 · 1","30~39","합계 90~119 / 홀수 2 / 연속쌍 1","합계 90~119 / 홀수 2 / 22이하 4"
"1231","2026-07-04","4","13","14","18","31","38","17","118","34","2개","4개","90~119","1쌍","4종류","2개","1 · 3 · 0 · 2 · 0","30~39","합계 90~119 / 홀수 2 / 연속쌍 1","합계 90~119 / 홀수 2 / 22이하 4"
"1232","2026-07-11","12","15","19","22","24","36","11","128","24","2개","4개","120~149","0쌍","5종류","1개","0 · 3 · 2 · 1 · 0","20~29","합계 120~149 / 홀수 2 / 연속쌍 0","합계 120~149 / 홀수 2 / 22이하 4"
"1233","2026-07-18","2","7","20","25","37","40","31","131","38","3개","3개","120~149","0쌍","4종류","3개","2 · 1 · 1 · 2 · 0","30~39","합계 120~149 / 홀수 3 / 연속쌍 0","합계 120~149 / 홀수 3 / 22이하 3"
"1234","2026-07-25","1","15","19","31","35","43","18","144","42","6개","3개","120~149","0쌍","4종류","3개","1 · 2 · 0 · 2 · 1","40~44","합계 120~149 / 홀수 6 / 연속쌍 0","합계 120~149 / 홀수 6 / 22이하 3"
"1235","2026-08-01","6","7","11","15","39","43","9","121","37","5개","4개","120~149","1쌍","6종류","3개","2 · 2 · 0 · 1 · 1","30~39","합계 120~149 / 홀수 5 / 연속쌍 1","합계 120~149 / 홀수 5 / 22이하 4"
"1236","2026-08-08","12","18","21","29","34","38","11","152","26","2개","3개","150~179","0쌍","5종류","1개","0 · 2 · 2 · 2 · 0","20~29","합계 150~179 / 홀수 2 / 연속쌍 0","합계 150~179 / 홀수 2 / 22이하 3"
"1237","2026-08-15","10","20","23","34","37","40","23","164","30","2개","2개","150~179","0쌍","4종류","2개","1 · 1 · 1 · 3 · 0","30~39","합계 150~179 / 홀수 2 / 연속쌍 0","합계 150~179 / 홀수 2 / 22이하 2"
"1238","2026-08-22","2","13","18","32","38","42","23","145","40","1개","3개","120~149","0쌍","3종류","2개","1 · 2 · 0 · 2 · 1","40~44","합계 120~149 / 홀수 1 / 연속쌍 0","합계 120~149 / 홀수 1 / 22이하 3"
"1239","2026-08-29","11","13","22","32","33","36","13","147","25","3개","3개","120~149","1쌍","4종류","2개","0 · 2 · 1 · 3 · 0","20~29","합계 120~149 / 홀수 3 / 연속쌍 1","합계 120~149 / 홀수 3 / 22이하 3"
"1240","2026-09-05","11","13","19","20","31","44","16","138","33","4개","4개","120~149","1쌍","5종류","4개","0 · 4 · 0 · 1 · 1","30~39","합계 120~149 / 홀수 4 / 연속쌍 1","합계 120~149 / 홀수 4 / 22이하 4"
"1241","2026-09-12","7","13","16","23","24","43","18","126","36","4개","3개","120~149","1쌍","4종류","4개","1 · 2 · 2 · 0 · 1","30~39","합계 120~149 / 홀수 4 / 연속쌍 1","합계 120~149 / 홀수 4 / 22이하 3"
